date,strategy,portfolio_value,portfolio_return,reward
2017-01-31,PPO,1.0416405014693737,0.0416405014693737,0.0416405014693737
2017-02-28,PPO,1.0802535042606065,0.0370694138109684,0.0370694138109684
2017-03-31,PPO,1.098159465941225,0.016575703397393227,0.016575703397393227
2017-04-30,PPO,1.1050101191279067,0.006238304544240236,0.006238304544240236
2017-05-31,PPO,1.1258970801326698,0.01890205405652523,0.01890205405652523
2017-06-30,PPO,1.128302508223964,0.0021364546846598387,4.844695065906041
2017-07-31,PPO,1.1726606707202583,0.03931406885385513,4.9378911457213714
2017-08-31,PPO,1.1691204420840364,-0.0030189710669219494,3.328482864132746
2017-09-30,PPO,1.1656045059325413,-0.0030073344241827726,2.328391206494449
2017-10-31,PPO,1.2279150068606846,0.05345766991376877,2.8567194699491125
2017-11-30,PPO,1.2685440830988335,0.03308785706758499,3.127730880141
2017-12-31,PPO,1.2994233405741624,0.024342281743884087,3.9649996759014927
2018-01-31,PPO,1.3314267831071023,0.024628957733511925,3.7575390624459883
2018-02-28,PPO,1.272733750210863,-0.04408280923962593,1.64192906028873
2018-03-31,PPO,1.2436945442609992,-0.022816402837634087,1.1741235117816238
2018-04-30,PPO,1.2854740247839815,0.03359303995966911,0.930513294325915
2018-05-31,PPO,1.3029376112061468,0.013585328124463558,0.5950001080448163
2018-06-30,PPO,1.2876578365859,-0.011727172881364822,-0.14354639218817666
2018-07-31,PPO,1.369691404638424,0.06370758265256882,0.5165772186361357
2018-08-31,PPO,1.408935194621296,0.028651556000113487,2.097059839528584
2018-09-30,PPO,1.3439844920862731,-0.046099141240119934,1.3485735841693516
2018-10-31,PPO,1.321942415324984,-0.016400543972849846,0.520446950446557
2018-11-30,PPO,1.3675436952543714,0.03449566289782524,0.8249571671189332
2018-12-31,PPO,1.3790273225239211,0.008397265337407589,1.1761831153303293
2019-01-31,PPO,1.4318585871025207,0.03831052780151367,0.897384235720599
2019-02-28,PPO,1.4282507290519466,-0.002519702771678567,0.320965674739485
2019-03-31,PPO,1.516050305541474,0.061473503708839417,2.691043102202324
2019-04-30,PPO,1.530098172055103,0.009266095235943794,3.93892210106496
2019-05-31,PPO,1.5570099388486818,0.017588261514902115,3.5466992538347837
2019-06-30,PPO,1.5927382984254044,0.022946776822209358,4.102525444287538
2019-07-31,PPO,1.5445622164491846,-0.03024733066558838,1.637928783681951
2019-08-31,PPO,1.5637833553407046,0.012444392777979374,2.01250459669669
2019-09-30,PPO,1.601767666287826,0.02429000847041607,1.7566611600678554
2019-10-31,PPO,1.680209938738076,0.04897231608629227,2.342673189197603
2019-11-30,PPO,1.661737099787289,-0.010994363576173782,1.5172492302267662
2019-12-31,PPO,1.6738115955756252,0.007266188971698284,1.1890327702322432
2020-01-31,PPO,1.6595422567102924,-0.008525056764483452,2.081632118470366
2020-02-29,PPO,1.5652072617752373,-0.05684398487210274,0.07326971229163962
2020-03-31,PPO,1.3477373080121013,-0.13894003629684448,-1.5536738609865572
2020-04-30,PPO,1.5283842385800621,0.13403719663619995,-0.5243405302980685
2020-05-31,PPO,1.527658180524338,-0.0004750494263134897,-0.449125770226532
2020-06-30,PPO,1.6079596025284886,0.05256504565477371,-0.12359417638185399
2020-07-31,PPO,1.6963132130641079,0.05494765564799309,0.2988266142128388
2020-08-31,PPO,1.7738019909952178,0.0456807017326355,1.026174807341578
2020-09-30,PPO,1.75971422358866,-0.007942130789160728,3.4659710537873765
2020-10-31,PPO,1.7671324961203216,0.004215612076222897,3.23194516789313
2020-11-30,PPO,1.9304819743360142,0.09243759512901306,4.166541019729499
2020-12-31,PPO,2.052243281765187,0.06307300925254822,4.239064667735667
